year,rank,location,mentions
1930,1,Västergötland,20
1930,2,Stockholm,14
1930,3,Foreign,11
1930,4,Gästrikland,3
1930,5,Lappland,2
1930,6,Dalarna,2
1931,1,Foreign,23
1931,2,Stockholm,19
1931,3,Skåne,10
1931,4,Uppland,2
1931,5,Dalarna,2
1931,6,Västergötland,2
1931,7,Småland,2
1931,8,Bergslagen,2
1932,1,Foreign,93
1932,2,Stockholm,27
1932,3,Västergötland,8
1933,1,Stockholm,102
1933,2,Foreign,54
1933,3,Västergötland,34
1933,4,Gotland,28
1933,5,Södermanland,14
1933,6,Bohuslän,8
1933,7,Östergötland,6
1933,8,Dalarna,6
1933,9,Skåne,4
1934,1,Foreign,153
1934,2,Stockholm,106
1934,3,Skåne,24
1934,4,Jämtland,14
1934,5,Västergötland,10
1934,6,Bohuslän,10
1934,7,Gästrikland,8
1934,8,Uppland,5
1935,1,Foreign,169
1935,2,Stockholm,80
1935,3,Västergötland,29
1935,4,Skåne,22
1935,5,Västmanland,22
1935,6,Lappland,8
1936,1,Foreign,371
1936,2,Stockholm,136
1936,3,Bohuslän,75
1936,4,Västergötland,37
1936,5,Skåne,34
1936,6,Öland,28
1936,7,Medelpad,20
1936,8,Värmland,18
1936,9,Östergötland,18
1936,10,Norrland,17
1937,1,Foreign,156
1937,2,Stockholm,67
1937,3,Västergötland,15
1937,4,Uppland,5
1937,5,Blekinge,5
1938,1,Foreign,229
1938,2,Stockholm,168
1938,3,Småland,21
1938,4,Västergötland,14
1938,5,Gotland,9
1938,6,Skåne,9
1938,7,Härjedalen,8
1939,1,Foreign,310
1939,2,Stockholm,185
1939,3,Västergötland,8
1940,1,Foreign,200
1940,2,Stockholm,119
1940,3,Västergötland,14
1940,4,Småland,9
1940,5,Norrland,7
1940,6,Uppland,6
1941,1,Foreign,225
1941,2,Stockholm,110
1941,3,Västergötland,16
1941,4,Västerbotten,13
1941,5,Värmland,6
1942,1,Foreign,210
1942,2,Stockholm,65
1942,3,Västergötland,20
1942,4,Närke,12
1942,5,Skåne,8
1942,6,Småland,6
1943,1,Foreign,183
1943,2,Stockholm,125
1943,3,Västergötland,32
1943,4,Västmanland,20
1943,5,Uppland,13
1943,6,Skåne,11
1943,7,Södermanland,7
1943,8,Hälsingland,6
1944,1,Stockholm,119
1944,2,Foreign,92
1944,3,Skåne,35
1944,4,Västergötland,19
1944,5,Uppland,8
1944,6,Ångermanland,7
1944,7,Blekinge,5
1944,8,Jämtland,5
1944,9,Västmanland,4
1945,1,Foreign,330
1945,2,Stockholm,69
1945,3,Skåne,49
1945,4,Västergötland,36
1945,5,Västerbotten,12
1945,6,Dalarna,10
1945,7,Ångermanland,9
1945,8,Uppland,8
1945,9,Gästrikland,8
1945,10,Värmland,7
1946,1,Foreign,160
1946,2,Stockholm,141
1946,3,Västerbotten,29
1946,4,Västergötland,27
1946,5,Uppland,24
1946,6,Skåne,14
1946,7,Östergötland,10
1946,8,Halland,8
1947,1,Foreign,114
1947,2,Stockholm,89
1947,3,Västergötland,18
1947,4,Närke,9
1947,5,Östergötland,8
1947,6,Skåne,7
1947,7,Dalarna,6
1947,8,Öland,5
1947,9,Västerbotten,5
1948,1,Stockholm,145
1948,2,Foreign,131
1948,3,Västergötland,15
1948,4,Dalarna,12
1948,5,Skåne,10
1948,6,Värmland,6
1948,7,Uppland,6
1949,1,Foreign,132
1949,2,Stockholm,82
1949,3,Skåne,25
1949,4,Västergötland,19
1949,5,Ångermanland,16
1949,6,Dalarna,12
1949,7,Jämtland,9
1949,8,Västmanland,9
1949,9,Uppland,6
1950,1,Foreign,134
1950,2,Stockholm,63
1950,3,Skåne,27
1950,4,Västergötland,18
1950,5,Dalarna,14
1950,6,Östergötland,11
1950,7,Västerbotten,6
1950,8,Lappland,4
1951,1,Foreign,130
1951,2,Stockholm,111
1951,3,Västerbotten,23
1951,4,Västergötland,15
1951,5,Skåne,7
1951,6,Uppland,7
1951,7,Hälsingland,7
1951,8,Södermanland,5
1952,1,Foreign,172
1952,2,Stockholm,115
1952,3,Västergötland,26
1952,4,Uppland,11
1952,5,Jämtland,6
1952,6,Halland,6
1952,7,Skåne,5
1953,1,Stockholm,151
1953,2,Foreign,116
1953,3,Västergötland,15
1953,4,Södermanland,9
1953,5,Uppland,8
1953,6,Dalarna,8
1953,7,Gotland,6
1953,8,Skåne,5
1954,1,Foreign,378
1954,2,Stockholm,214
1954,3,Västergötland,57
1954,4,Skåne,34
1954,5,Dalarna,20
1954,6,Uppland,13
1954,7,Närke,10
1954,8,Jämtland,10
1955,1,Foreign,240
1955,2,Stockholm,175
1955,3,Skåne,27
1955,4,Västergötland,25
1955,5,Östergötland,12
1955,6,Dalarna,8
1955,7,Uppland,7
1955,8,Medelpad,7
1956,1,Foreign,296
1956,2,Stockholm,171
1956,3,Västergötland,32
1956,4,Skåne,19
1957,1,Stockholm,127
1957,2,Foreign,81
1957,3,Västergötland,30
1957,4,Skåne,10
1957,5,Uppland,9
1957,6,Blekinge,8
1957,7,Närke,6
1957,8,Östergötland,5
1957,9,Södermanland,5
1958,1,Foreign,148
1958,2,Stockholm,98
1958,3,Skåne,15
1958,4,Västergötland,14
1958,5,Västmanland,6
1958,6,Uppland,6
1958,7,Närke,5
1958,8,Västerbotten,5
1959,1,Stockholm,150
1959,2,Foreign,59
1959,3,Västergötland,18
1959,4,Dalarna,9
1959,5,Västerbotten,6
1959,6,Västmanland,4
1959,7,Uppland,4
1960,1,Foreign,51
1960,2,Stockholm,40
1960,3,Västmanland,9
1960,4,Dalarna,4
1960,5,Halland,3
1960,6,Hälsingland,3
1960,7,Västerbotten,2
1960,8,Skåne,2
1960,9,Lappland,2
1961,1,Foreign,20
1961,2,Stockholm,13
1961,3,Uppland,7
1961,4,Dalarna,4
1961,5,Blekinge,3
1961,6,Västmanland,2
1961,7,Närke,1
1961,8,Östergötland,1
1961,9,Södermanland,1
1961,10,Småland,1
1962,1,Foreign,13
1963,1,Skåne,1
1964,1,Foreign,3
1964,2,Skåne,2
1964,3,Stockholm,2
1964,4,Uppland,1
